id,display_name,price,cpu_socket,form_factor,max_memory,num_memory_slots,colour
392b468d-3b26-4581-95ea-3167a93fb5ce,MSI MPG B650 EDGE WIFI,239.99,AM5,ATX,192,4,Black / Silver
da7af7a4-3bfb-4c72-8557-7497c4d36c5a,MSI MPG Z490 GAMING EDGE WIFI,175.72,LGA1200,ATX,128,4,Black / Silver
0ff15cd9-b2e8-4a74-9cb8-240ddf5c3d9c,NZXT N7 Z790,299.99,LGA1700,ATX,128,4,Black
708a720a-88de-49e2-adaf-4bf8fa6d8292,MSI A320M-A PRO,88.71,AM4,Micro ATX,64,2,Black
b2086c9d-68a3-41f1-aead-f8a4dc8398fa,ASRock H310CM-DVS,63.85,LGA1151,Micro ATX,32,2,Black
2e554539-1572-46fd-a04d-4703c015c964,ASRock B660M-HDV,94.99,LGA1700,Micro ATX,64,2,Gray / Black
45eab136-ed5f-4f13-b702-e0f58abaf127,ASRock X670E PG Lightning,248.99,AM5,ATX,192,4,Black
d061b1bb-2c8c-49fe-9b6d-0d1394d14406,Asus ProArt X670E-CREATOR WIFI,454.0,AM5,ATX,192,4,Black / Copper
e430ed6d-7abe-453f-a190-554ee41e5986,ECS G31T-M7,169.95,LGA775,Micro ATX,4,2,Multicolor
75c7e9d7-40a6-4d5c-9586-9ba6796dbb7f,ASRock B450M Steel Legend,108.99,AM4,Micro ATX,64,4,Black / White
3fd06242-22a8-4a27-9f6b-77c2b67bf955,MSI MPG Z790I EDGE WIFI,329.99,LGA1700,Mini ITX,96,2,Silver / Black
06d43da8-7c87-436a-97ed-c596a85f15bc,MSI MAG B650M MORTAR WIFI,199.95,AM5,Micro ATX,192,4,Black
e9f26a99-533b-4d3e-a74f-f96200177acd,Asus ROG Crosshair VIII Dark Hero,399.99,AM4,ATX,128,4,Black / Silver
0150f0a8-3b87-4b1b-8c00-b9e6ea3659af,Asus ROG STRIX X670E-I GAMING WIFI,449.99,AM5,Mini ITX,96,2,Black / Silver
245a301a-fb26-4a68-b4d5-74bee33a1818,Asus ProArt Z790-CREATOR WIFI,439.99,LGA1700,ATX,192,4,Black / Copper
89839eb9-c801-430e-9e17-4d6baf98039d,ASRock B550M PG RIPTIDE,111.98,AM4,Micro ATX,128,4,
bb35f632-024b-460b-b1d5-0298517e11a1,ASRock B450M-HDV R4.0,71.84,AM4,Micro ATX,32,2,Black / White
e60ef2e0-2a9c-4d87-bdac-967f38228883,NZXT N7 B650E,289.99,AM5,ATX,128,4,Black
569ba9ae-61b1-472c-905c-446f9c69861b,ASRock B760M Pro RS,124.99,LGA1700,Micro ATX,192,4,Silver / Black
739bc13c-d2ee-44f0-8aa8-9ead563cfb31,MSI Z490-A PRO,160.57,LGA1200,ATX,128,4,Black / Silver
5fc44813-ee8f-4c15-bef9-7ed71877fbaa,ASRock Fatal1ty B450 Gaming-ITX/ac,141.89,AM4,Mini ITX,64,2,Black / Silver
a2f21196-2ced-4122-9948-d69f3f9d9667,Gigabyte A620M GAMING X,109.99,AM5,Micro ATX,192,4,Brown / Gray
ff430ac1-0555-458a-bc64-8227b50bfa10,ASRock B550 Phantom Gaming-ITX/ax,189.97,AM4,Mini ITX,64,2,Silver / Black
fe515c18-51f2-4116-94da-2cf7f3a41421,Gigabyte H610M S2H,89.99,LGA1700,Micro ATX,64,2,Brown / Silver
1d7fb58d-2939-4112-b6d8-b9ca8c429f17,Asus TUF GAMING B550M-PLUS WIFI II,,AM4,Micro ATX,128,4,Black / Gray
a1789301-252e-4a5f-aa00-3e805befc321,Asus TUF GAMING B760M-PLUS WIFI D4,172.99,LGA1700,Micro ATX,128,4,Black / Orange
584072df-edf2-4dee-8761-0dded9d24a0a,Asus ROG STRIX B760-A GAMING WIFI,224.99,LGA1700,ATX,192,4,Silver / Black
5a055a01-7f85-4f5e-b16f-e3153a6ff6f9,MSI MPG X670E CARBON WIFI,439.99,AM5,ATX,192,4,Black
5fa7f421-e28f-461c-8f78-9c5669dff607,Gigabyte B550 AORUS ELITE V2,169.29,AM4,ATX,128,4,Black
aa17080a-3abd-4c63-a6bb-3d21f941348c,Asus PRIME B760-PLUS D4,154.99,LGA1700,ATX,128,4,Silver / Black
d4495167-f853-4556-846a-54b6c14a5bc0,Gigabyte B760 AORUS ELITE AX,179.99,LGA1700,ATX,192,4,Black
09d3c786-05b8-486f-ac33-571fefb54e72,ASRock B760M-HDV/M.2 D4,91.98,LGA1700,Micro ATX,64,2,Silver / Black
39d0e1f5-5079-4d7c-95b8-b0f57c33f09b,ASRock A520M-HVS,67.73,AM4,Micro ATX,64,2,Black / Silver
ec9d8855-f911-46d0-be12-cf35b04c7a45,ASRock B550 Pro4,114.99,AM4,ATX,128,4,Silver / Black
fcc8b662-d317-4c45-9e06-bef8b95dee5c,Asus ROG STRIX B650E-E GAMING WIFI,336.99,AM5,ATX,192,4,Black
68992cc5-42d2-4b1b-8a9e-cd5c705c60a3,Asus ROG STRIX Z790-I GAMING WIFI,399.99,LGA1700,Mini ITX,96,2,Black
