id,display_name,price,core_count,core_clock,boost_clock,tdp,integrated_graphics,has_smt
e7fa2e4f-fb02-485d-8bc3-8a339972d458,Intel Core i7-11700K,283.02,8,3.6,5.0,125,Intel UHD Graphics 750,1
15516b25-ae41-436c-8975-ad3e1ef2bb70,Intel Core i7-6700K,220.61,4,4.0,4.2,91,Intel HD Graphics 530,1
6e2ce834-0321-4325-b6a7-3868cafe4fcc,Intel Core i7-12700F,289.98,12,2.1,4.9,65,,1
b330cb43-5457-4771-9140-b1da2ea70521,Intel Core i9-12900KF,369.99,16,3.2,5.2,125,,1
6d191652-a517-4be2-b433-dd38721c276b,AMD Ryzen 5 7500F,,6,3.7,5.0,65,,1
2e53f99d-4d7b-42d7-bc77-b30761d84e33,AMD Ryzen 7 3800X,285.0,8,3.9,4.5,105,,1
76c8663c-02ec-4b14-ac21-0cb7ef649ad6,AMD Threadripper 3970X,2201.44,32,3.7,4.5,280,,1
b22918f9-49b5-4d82-9b9c-40bffaf616b8,Intel Core i9-11900K,295.0,8,3.5,5.3,125,Intel UHD Graphics 750,1
3f159774-7ce4-45b8-a2b2-902d847daa13,Intel Core i5-9600K,219.14,6,3.7,4.6,95,Intel UHD Graphics 630,0
cf5e698e-a9db-4bb2-a722-1bfc6cde7090,Intel Core i3-13100,134.99,4,3.4,4.5,60,Intel UHD Graphics 730,1
eeb4c9f2-95cc-4761-b17a-d1427545a757,Intel Core i7-13700,366.99,16,2.1,5.2,65,Intel UHD Graphics 770,1
7b17e9fd-00d8-4a36-ba4d-659bc5f9574c,Intel Core i5-10600K,162.99,6,4.1,4.8,125,Intel UHD Graphics 630,1
29319b75-4d2b-4c5b-ad8b-b53ffcea9849,Intel Core i9-10900K,361.4,10,3.7,5.3,125,Intel UHD Graphics 630,1
c1f7ccad-311e-4bde-b2a8-fd7c00f1f0a0,AMD Ryzen 5 2600X,210.0,6,3.6,4.2,95,,1
72567868-94ae-460b-8c12-d0313e010db8,Intel Core i5-10400,129.54,6,2.9,4.3,65,Intel UHD Graphics 630,1
bcfc80b0-750c-443c-991d-796d88359a88,AMD Ryzen 5 5600X3D,,6,3.3,4.4,105,,1
278ede5d-d988-4fbf-9a89-902272d21b18,Intel Core i3-10105F,79.67,4,3.7,4.4,65,,1
