id,display_name,price,type,efficiency,wattage,modular,colour
b7a35009-882c-4fda-b417-0fa84c423d48,Thermaltake Toughpower GF1 Snow - TT Premium,107.98,ATX,gold,850,Full,White
6b0a2d9b-3f63-492a-9829-15a2343090bb,Thermaltake Toughpower,87.44,ATX,gold,750,Semi,
97fa1205-627b-40b9-9c94-7076a56218ca,Apevia CAPTAIN,31.99,ATX,,550,False,Black
cb0b0122-b677-45e2-bd92-9cde30e68243,Phanteks Revolt SFX,84.99,SFX,gold,650,Full,Black
08259b52-a3cc-493a-978d-7cd320b1fdbf,Lian Li SP,114.99,SFX,gold,750,Full,Black
0c250891-5682-434b-b18d-19529056792c,be quiet! Pure Power 12 M,139.9,ATX,gold,1000,Full,Black
5b6d9b7c-3e2e-4125-b3ba-254091541df4,EVGA 500 BR,66.99,ATX,bronze,500,False,
93056124-fc8f-4ff8-adcf-62c9ebd51e16,EVGA 700 GD,84.99,ATX,gold,700,False,Black
d252d757-9c8f-4112-942f-f1d1277c3a5d,Phanteks AMP v2,139.99,ATX,gold,1000,Full,White
3db8f95e-9d59-4d65-91cb-d44a23316e45,ADATA XPG CORE Reactor 850,104.99,ATX,gold,850,Full,Black
7083f3ee-af07-4d02-b750-31dc1d6f1f0f,Corsair SF850L,129.99,SFX,gold,850,Full,Black
ddf1972e-d435-4ae0-8284-3a235594ee52,be quiet! Pure Power 12 M,134.9,ATX,gold,850,Full,Black
181de867-b457-4ae9-87de-ae8719be8537,SeaSonic FOCUS GX,90.81,ATX,gold,650,Full,Black
922b910a-230d-4896-8268-b7f47bdf11f6,Rosewill HIVE,66.98,ATX,bronze,750,Semi,
f1e39155-0315-42c5-aad7-0ff9a9f92530,Apevia Premier,59.99,ATX,gold,650,Semi,Black
5211c2fa-a92a-4597-bb2b-51272c07dc83,Cooler Master V850 SFX GOLD,141.99,SFX,gold,850,Full,White
bde01472-05d2-4a7d-a0bb-4b7f41b4dd6d,Gigabyte P-B,,ATX,bronze,650,False,Black
9ccb839a-2844-4b89-9af3-3f1f50163a8f,Asus TUF Gaming 1000G,164.86,ATX,gold,1000,Full,Black
40cc2472-0574-431b-8d3e-edb866df60ab,be quiet! Pure Power 12 M,104.9,ATX,gold,650,Full,Black
3b769e61-8a5f-4fa9-82c4-0b222cb4f722,Asus ROG THOR P2 Gaming,319.99,ATX,platinum,1200,Full,Silver / Black
63f7ee56-80ed-4c93-94b2-dd110a9afc6d,NZXT C750 (2022),119.99,ATX,gold,750,Full,Black
d0b7550e-87af-4121-a7aa-ddf6da427f0c,Thermaltake Toughpower GF1 - TT Premium,79.99,ATX,gold,650,Full,Black
cbb53c87-7c0e-4866-b0fb-abfcabd57d57,Thermaltake Toughpower GF3 TT Premium,154.99,ATX,gold,1000,Full,Black
583ece1c-db2a-4141-91b6-b9ce78ff47f2,Apevia Galaxy,54.99,ATX,gold,650,Semi,Black
305a8996-51d7-4d07-b947-32267d8b80e5,MSI MAG A750GL PCIE5,89.99,ATX,gold,750,Full,Black
f217f1c3-6db5-46a8-8a45-889cc5c016a5,MSI MPG A850GF,120.0,ATX,gold,850,Full,Black
84eda070-8890-47cc-85f4-e9918714794e,MSI MAG A850GL PCIE5,118.68,ATX,gold,850,Full,Black
d05d20b0-5dea-4957-8ec0-42888b9fbe00,Corsair RM750 (2019),214.99,ATX,gold,750,Full,Black
3f566a1d-7b3a-41e0-9398-3bf7260eddd3,Asus ROG LOKI,229.99,SFX,platinum,1000,Full,Silver / Black
49e32eb4-c2c0-4548-9ee0-175d626d07ae,EVGA 650BP,74.99,ATX,bronze,650,False,Black
a5ad1167-c15f-4c34-a4f8-a99f759bb2fa,EVGA 600 BR,69.99,ATX,bronze,600,False,
b1862e89-ff00-44b9-9e95-3f5767d0da5c,Corsair HX1500i (2023),365.99,ATX,platinum,1500,Full,Black
e0b81e46-2fa8-4515-97ae-bb7603e9f2be,SeaSonic S12III,61.41,ATX,bronze,500,False,Black
553d7f2b-17c3-4dc2-a1d7-0054bdfc11a9,Thermaltake Toughpower Grand RGB,87.35,ATX,gold,650,Full,
300930ec-bbf6-482a-9c6a-c80d8a61d5a6,Asus TUF Gaming 750G,,ATX,gold,750,Full,Black
19890155-3ddf-4a5a-a919-db6551960ab7,be quiet! System Power 10,68.41,ATX,bronze,450,False,Black
7bbff611-76da-4031-be2b-e25ed885307c,Super Flower Leadex Titanium,699.99,ATX,titanium,1600,Full,Black
872f7d34-8fab-4cf7-9e6e-e2e9d373bf25,Gigabyte P650G (US),64.99,ATX,gold,650,False,Black
ed4c6290-1727-4edd-80a5-8a76e7299cee,Asus ROG THOR P2 Gaming,277.88,ATX,platinum,1000,Full,Silver / Black
5485a345-e207-49b9-95dd-1fc87be56b2d,Gigabyte P850GM,159.97,ATX,gold,850,Full,Black
5adf8f46-4e94-447d-a6f6-98da5072cddd,NZXT C1200,244.99,ATX,gold,1200,Full,Black
2f0335b3-5992-4b17-a182-944c8f9bb67e,NZXT C1000 (2022),154.99,ATX,gold,1000,Full,Black
457267f9-a55e-49b8-87a3-f1b49cbf20c0,EVGA 650 N1,54.99,ATX,,650,False,
d0e7e531-db6b-4014-b525-03a187046314,be quiet! Pure Power 12 M,94.9,ATX,gold,550,Full,Black
